id_estudiante;estado_inscripcion;ingreso_aprobadas;ingreso_libres;ingreso_totales;cursadas_aprobadas;cursadas_regulares;cursadas_libres;cursadas_totales;inscripciones_examenes;examenes_aprobados;err_formato_matricula;regla_estado_inscripcion
CA-015876-9;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-015876-0;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016187-5;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016558-7;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016079-8;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-016079-9;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CC-016079-8;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016164-6;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CA-016551-0;Aceptado;1;1;2;0;0;3;3;0;0;True;
CA-016538-2;Aceptado;1;1;2;0;0;3;3;0;0;True;
CD-016538-6;Aceptado;0;2;2;0;0;5;5;0;0;True;
CA-016224-3;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016150-6;Aceptado;1;1;2;1;0;2;3;0;0;True;
CA-007425-5;Aceptado;1;1;2;0;2;1;3;0;0;True;
CA-016566-8;Aceptado;1;1;2;0;1;2;3;0;0;True;
CA-016226-0;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016529-3;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CA-016549-8;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016159-0;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016156-5;Aceptado;0;2;2;1;1;1;3;0;0;True;
CA-016535-8;Aceptado;1;1;2;0;0;3;3;0;0;True;
CA-016236-7;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016175-1;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-007459-0;Aceptado;1;1;2;1;0;2;3;0;0;True;
CA-013037-6;Aceptado;1;1;2;2;0;1;3;0;0;True;
CA-016201-4;Aceptado;0;2;2;0;0;3;3;0;0;True;
CA-016173-5;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016791-1;Aceptado;1;1;2;0;1;2;3;0;0;True;
CA-016522-6;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016540-4;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016574-9;Aceptado;2;0;2;0;1;2;3;0;0;True;
CA-010330-1;Aceptado;1;1;2;1;1;1;3;0;0;True;
CC-010330-1;Aceptado;1;1;2;0;1;2;3;0;0;True;
CA-016155-7;Aceptado;1;1;2;0;0;3;3;0;0;True;
CA-016795-4;Aceptado;1;1;2;0;0;3;3;0;0;True;
CA-016213-8;Aceptado;1;1;2;0;1;2;3;0;0;True;
CA-016210-3;Aceptado;0;2;2;0;0;3;3;0;0;True;
CA-016162-0;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016577-3;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016545-5;Aceptado;1;1;2;0;0;3;3;0;0;True;
CA-003269-2;Aceptado;1;1;2;0;0;3;3;0;0;True;
CA-016220-1;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016160-3;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016225-1;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-010656-4;Aceptado;1;1;2;0;0;3;3;0;0;True;
CA-016537-4;Pendiente;1;1;2;0;0;0;3;1;0;True;err
CA-016546-3;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-015902-1;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-015902-2;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016553-6;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-015912-9;Aceptado;2;0;2;0;0;3;3;0;0;True;
CB-015912-0;Aceptado;1;1;2;1;2;0;3;0;0;True;
CA-015047-4;Aceptado;2;0;2;1;1;1;3;0;0;True;
CA-016170-1;Aceptado;1;1;2;0;0;3;3;0;0;True;
CA-016539-1;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016196-4;Aceptado;2;0;2;0;1;2;3;0;0;True;
CA-016547-1;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-008316-5;Aceptado;1;1;2;1;0;2;3;0;0;True;
CA-016199-9;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-015852-1;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-015852-2;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CA-016176-0;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016207-3;Aceptado;0;2;2;0;1;2;3;0;0;True;
CA-016576-5;Aceptado;0;2;2;0;1;2;3;0;0;True;
CA-016203-1;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016568-4;Aceptado;1;1;2;0;0;3;3;1;1;True;
CA-016244-8;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CA-016217-1;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016179-4;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-009394-2;Aceptado;2;0;2;1;1;1;3;0;0;True;
CA-016246-4;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-004968-4;Aceptado;0;2;2;0;0;3;3;0;0;True;
CA-016804-7;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-017498-5;Aceptado;2;0;2;0;1;2;3;0;0;True;
CA-016144-1;Aceptado;1;1;2;1;0;2;3;0;0;True;
CA-016536-6;Aceptado;1;1;2;1;0;2;3;0;0;True;
CA-015899-8;Aceptado;1;1;2;1;0;2;3;0;0;True;
CB-015899-9;Aceptado;2;0;2;1;0;2;3;0;0;True;
CA-016205-7;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016561-7;Aceptado;0;2;2;0;2;1;3;0;0;True;
CA-016222-7;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016227-8;Aceptado;0;2;2;0;1;2;3;0;0;True;
CA-016567-6;Aceptado;1;1;2;1;0;2;3;0;0;True;
CA-016562-5;Aceptado;1;1;2;1;1;1;3;1;0;True;
CA-016186-7;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CC-016186-7;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CA-016571-4;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016185-9;Aceptado;1;1;2;0;1;2;3;0;0;True;
CA-016158-1;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016218-9;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016533-1;Aceptado;1;1;2;0;0;3;3;0;0;True;
CA-016248-1;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CA-016188-3;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016569-2;Aceptado;1;1;2;0;0;3;3;0;0;True;
CA-008718-7;Aceptado;2;0;2;0;1;2;3;0;0;True;
CA-016198-1;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-011515-6;Aceptado;1;1;2;0;2;1;3;0;0;True;
CA-016174-3;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016161-1;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-009376-4;Aceptado;1;1;2;1;1;1;3;0;0;True;
CA-015853-0;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-015853-1;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CA-016200-6;Aceptado;1;1;2;1;0;2;3;0;0;True;
CA-016575-7;Pendiente;1;1;2;0;0;0;3;1;1;True;err
CA-016241-3;Aceptado;2;0;2;0;1;2;3;0;0;True;
CA-015910-2;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-015910-3;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016230-8;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016215-4;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-114231-9;Aceptado;1;1;2;1;0;2;3;0;0;True;
CA-016564-1;Aceptado;0;2;2;1;1;1;3;0;0;True;
CA-016231-6;Aceptado;2;0;2;0;0;3;3;0;0;True;
CA-016240-5;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016181-6;Aceptado;1;1;2;1;1;1;3;0;0;True;
CA-016776-8;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016243-0;Aceptado;1;1;2;0;1;2;3;0;0;True;
CA-016247-2;Aceptado;2;0;2;0;2;1;3;0;0;True;
CA-016148-4;Aceptado;1;1;2;0;0;3;3;0;0;True;
CA-016154-9;Aceptado;2;0;2;0;2;1;3;0;0;True;
CD-016154-2;Aceptado;1;1;2;0;1;4;5;0;0;True;
CA-016559-5;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CC-016559-5;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CA-016531-5;Aceptado;1;1;2;3;0;0;3;0;0;True;
CA-016143-3;Aceptado;1;1;2;1;0;2;3;0;0;True;
CA-016202-2;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CE-016202-3;Pendiente;1;0;1;0;0;0;5;0;0;True;ok
CA-016237-5;Aceptado;2;0;2;1;0;2;3;1;1;True;
CA-009540-6;Aceptado;1;1;2;0;1;2;3;0;0;True;
CA-016206-5;Aceptado;2;0;2;1;1;1;3;1;1;True;
CA-007408-5;Aceptado;1;1;2;1;0;2;3;0;0;True;
CA-015081-4;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016182-4;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016193-0;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016245-6;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016494-7;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-016494-8;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016195-6;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016555-2;Aceptado;1;1;2;0;1;2;3;1;0;True;
CA-016572-2;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016163-8;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016526-9;Aceptado;1;1;2;0;0;3;3;0;0;True;
CA-016189-1;Aceptado;2;0;2;2;0;1;3;0;0;True;
CA-016527-7;Aceptado;0;2;2;0;2;1;3;0;0;True;
CA-016184-1;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016530-7;Aceptado;2;0;2;0;1;2;3;0;0;True;
CA-016543-9;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CA-016541-2;Aceptado;1;1;2;0;1;2;3;0;0;True;
CA-005300-2;Aceptado;1;1;2;0;0;3;3;0;0;True;
CA-016214-6;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016149-2;Aceptado;2;0;2;0;2;1;3;0;0;True;
CA-016523-4;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-007545-6;Aceptado;1;1;2;0;0;3;3;0;0;True;
CD-007545-0;Aceptado;2;0;2;0;1;4;5;0;0;True;
CA-016242-1;Aceptado;0;2;2;0;2;1;3;0;0;True;
CA-011910-1;Aceptado;1;1;2;1;1;1;3;0;0;True;
CA-008422-6;Aceptado;1;1;2;0;0;3;3;0;0;True;
CA-016211-1;Aceptado;1;1;2;0;1;2;3;0;0;True;
CA-016152-2;Aceptado;1;1;2;0;1;2;3;0;0;True;
CA-016151-4;Aceptado;1;1;2;0;0;3;3;0;0;True;
CA-016550-1;Aceptado;2;0;2;1;1;1;3;0;0;True;
CA-016233-2;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CC-016233-2;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016235-9;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016209-0;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016180-8;Aceptado;2;0;2;3;0;0;3;0;0;True;
CA-011457-5;Aceptado;2;0;2;0;1;2;3;0;0;True;
CA-016528-5;Aceptado;2;0;2;0;1;2;3;0;0;True;
CA-016168-9;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016239-1;Aceptado;0;2;2;0;1;2;3;0;0;True;
