id_estudiante;propuesta;estado_inscripcion;plan_estudios;version_plan;modalidad;fecha_ingreso;fecha_inscripcion;err_formato_matricula;regla_fechas_ingreso
CA-015876-9;130;Pendiente;2007;14;Presencial;01/04/2020;04/12/2019;True;ok
CB-015876-0;134;Pendiente;2007;14;Presencial;01/04/2020;04/12/2019;True;ok
CA-016187-5;130;Pendiente;2007;14;Presencial;01/04/2020;09/12/2019;True;ok
CA-016558-7;130;Pendiente;2007;14;Presencial;01/04/2020;10/02/2020;True;ok
CA-016079-8;130;Pendiente;2007;14;Presencial;01/04/2020;17/12/2019;True;ok
CB-016079-9;134;Pendiente;2007;14;Presencial;01/04/2020;17/12/2019;True;ok
CC-016079-8;143;Pendiente;2007;14;Presencial;01/04/2020;17/12/2019;True;ok
CA-016164-6;130;Pendiente;2007;14;Presencial;01/04/2020;02/12/2019;True;ok
CA-016551-0;130;Aceptado;2007;14;Presencial;01/04/2020;10/02/2020;True;ok
CA-016538-2;130;Aceptado;2007;14;Presencial;01/04/2020;05/02/2020;True;ok
CD-016538-6;135;Aceptado;2007;14;Presencial;01/04/2020;05/02/2020;True;ok
CA-016224-3;130;Pendiente;2007;14;Presencial;01/04/2020;16/12/2019;True;ok
CA-016150-6;130;Aceptado;2007;14;Presencial;01/04/2020;21/11/2019;True;ok
CA-007425-5;130;Aceptado;2007;14;Presencial;01/04/2020;26/02/2020;True;ok
CA-016566-8;130;Aceptado;2007;14;Presencial;01/04/2020;12/02/2020;True;ok
CA-016226-0;130;Pendiente;2007;14;Presencial;01/04/2020;16/12/2019;True;ok
CA-016529-3;130;Pendiente;2007;14;Presencial;01/04/2020;04/02/2020;True;ok
CA-016549-8;130;Pendiente;2007;14;Presencial;01/04/2020;10/02/2020;True;ok
CA-016159-0;130;Pendiente;2007;14;Presencial;01/04/2020;28/11/2019;True;ok
CA-016156-5;130;Aceptado;2007;14;Presencial;01/04/2020;25/11/2019;True;ok
CA-016535-8;130;Aceptado;2007;14;Presencial;01/04/2020;04/02/2020;True;ok
CA-016236-7;130;Pendiente;2007;14;Presencial;01/04/2020;17/12/2019;True;ok
CA-016175-1;130;Pendiente;2007;14;Presencial;01/04/2020;04/12/2019;True;ok
CA-007459-0;130;Aceptado;2007;14;Presencial;01/04/2020;26/02/2020;True;ok
CA-013037-6;130;Aceptado;2007;14;Presencial;01/04/2020;21/11/2019;True;ok
CA-016201-4;130;Aceptado;2007;14;Presencial;01/04/2020;11/12/2019;True;ok
CA-016173-5;130;Pendiente;2007;14;Presencial;01/04/2020;04/12/2019;True;ok
CA-016791-1;130;Aceptado;2007;14;Presencial;01/04/2020;11/08/2020;True;err
CA-016522-6;130;Pendiente;2007;14;Presencial;01/04/2020;04/02/2020;True;ok
CA-016540-4;130;Pendiente;2007;14;Presencial;01/04/2020;05/02/2020;True;ok
CA-016574-9;130;Aceptado;2007;14;Presencial;01/04/2020;14/02/2020;True;ok
CA-010330-1;130;Aceptado;2007;14;Presencial;01/04/2020;21/11/2019;True;ok
CC-010330-1;143;Aceptado;2007;14;Presencial;01/04/2020;21/11/2019;True;ok
CA-016155-7;130;Aceptado;2007;14;Presencial;01/04/2020;22/11/2019;True;ok
CA-016795-4;130;Aceptado;2007;14;Presencial;01/04/2020;24/08/2020;True;err
CA-016213-8;130;Aceptado;2007;14;Presencial;01/04/2020;13/12/2019;True;ok
CA-016210-3;130;Aceptado;2007;14;Presencial;01/04/2020;12/12/2019;True;ok
CA-016162-0;130;Pendiente;2007;14;Presencial;01/04/2020;29/11/2019;True;ok
CA-016577-3;130;Pendiente;2007;14;Presencial;01/04/2020;14/02/2020;True;ok
CA-016545-5;130;Aceptado;2007;14;Presencial;01/04/2020;06/02/2020;True;ok
CA-003269-2;130;Aceptado;2007;14;Presencial;01/04/2020;22/11/2019;True;ok
CA-016220-1;130;Pendiente;2007;14;Presencial;01/04/2020;13/12/2019;True;ok
CA-016160-3;130;Pendiente;2007;14;Presencial;01/04/2020;28/11/2019;True;ok
CA-016225-1;130;Pendiente;2007;14;Presencial;01/04/2020;16/12/2019;True;ok
CA-010656-4;130;Aceptado;2007;14;Presencial;01/04/2020;15/11/2019;True;ok
CA-016537-4;130;Pendiente;2007;14;Presencial;01/04/2020;05/02/2020;True;ok
CA-016546-3;130;Pendiente;2007;14;Presencial;01/04/2020;06/02/2020;True;ok
CA-015902-1;130;Pendiente;2007;14;Presencial;01/04/2020;06/12/2019;True;ok
CB-015902-2;134;Pendiente;2007;14;Presencial;01/04/2020;06/12/2019;True;ok
CA-016553-6;130;Pendiente;2007;14;Presencial;01/04/2020;10/02/2020;True;ok
CA-015912-9;130;Aceptado;2007;14;Presencial;01/04/2020;06/12/2019;True;ok
CB-015912-0;134;Aceptado;2007;14;Presencial;01/04/2020;06/12/2019;True;ok
