propuesta;estado_inscripcion;fecha_ultimo_examen;anio_ultima_reinscripcion;regular;segundo_anio;rango_promedios;examenes_1er_semestre;avance_ingreso;avance_1er_semestre;avance_carrera
130;Aceptado;;2021.0;S;N;Medio;N;1.0;0.0;0.047619047619047616
130;Pendiente;23/08/2021;2021.0;S;S;Medio;N;1.0;0.0;125
130;Pendiente;;2021.0;S;N;Medio;N;1.0;0.0;0.047619047619047616
130;Pendiente;;2021.0;S;S;Alto;N;1.0;0.0;0.14285714285714285
130;Pendiente;;2021.0;S;N;Medio;N;1.0;0.0;0.047619047619047616
130;Aceptado;;2021.0;S;N;Medio;N;1.0;0.0;0.05
130;Aceptado;23/08/2021;2021.0;S;S;Alto;N;0.0;0.0;0.2619047619047619
130;Aceptado;;2021.0;N;N;Bajo;N;0.5;0.0;0.0
130;Pendiente;;2021.0;S;N;Medio;N;0.5;0.0;0.047619047619047616
130;Pendiente;;2021.0;S;N;Medio;N;0.5;0.0;0.07142857142857142
130;Pendiente;;2021.0;N;N;Medio;N;0.5;0.3333333333333333;0.023809523809523808
130;Pendiente;;2021.0;S;S;Medio;N;0.5;0.6666666666666666;0.38095238095238093
130;Aceptado;;2021.0;S;N;Alto;N;0.5;0.3333333333333333;0.047619047619047616
130;Pendiente;;2021.0;N;N;Bajo;N;1.0;0.0;0.0
130;Aceptado;20/08/2021;2021.0;S;S;Medio;N;0.0;0.0;0.11904761904761904
130;Aceptado;;2021.0;S;N;Medio;N;1.0;0.0;0.047619047619047616
130;Pendiente;;2021.0;N;N;Medio;N;0.5;0.0;0.023809523809523808
130;Aceptado;;2021.0;N;N;Bajo;N;0.0;0.6666666666666666;0.0
130;Pendiente;;2021.0;N;N;Bajo;N;0.5;0.0;0.0
130;Aceptado;;2021.0;S;N;Alto;N;1.0;0.0;0.09523809523809523
130;Aceptado;;2021.0;N;N;Alto;N;1.0;0.0;0.023809523809523808
130;Aceptado;;2021.0;S;S;Medio;N;0.5;0.3333333333333333;0.35714285714285715
130;Aceptado;;2021.0;S;S;Alto;N;0.5;0.6666666666666666;0.14285714285714285
130;Pendiente;;2021.0;N;N;Bajo;N;0.0;0.0;0.0
130;Aceptado;;2021.0;S;S;Medio;N;0.5;0.0;0.11904761904761904
130;Pendiente;16/12/2021;2021.0;S;N;Alto;N;0.5;0.0;0.07142857142857142
130;Pendiente;;2021.0;N;N;Alto;N;1.0;0.0;0.023809523809523808
130;Pendiente;;2021.0;S;N;Alto;N;1.0;0.3333333333333333;0.047619047619047616
130;Pendiente;;2021.0;S;S;Alto;N;0.5;0.6666666666666666;0.11904761904761904
130;Aceptado;;2021.0;S;N;Medio;N;0.5;0.0;0.07142857142857142
130;Aceptado;;2021.0;S;N;Medio;N;0.5;0.3333333333333333;0.047619047619047616
130;Aceptado;;2021.0;S;S;Alto;N;0.0;0.0;0.14285714285714285
130;Aceptado;;2021.0;N;N;Medio;N;1.0;0.0;0.023809523809523808
130;Aceptado;;2021.0;N;N;Bajo;N;0.5;0.0;0.0
130;Aceptado;;2021.0;S;N;Medio;N;0.5;0.0;0.09523809523809523
130;Pendiente;;2021.0;S;S;Medio;N;0.5;0.0;0.42857142857142855
130;Pendiente;;2021.0;N;N;Bajo;N;0.5;0.0;0.0
130;Pendiente;23/08/2021;2021.0;S;S;Medio;N;1.0;0.0;0.14285714285714285
130;Aceptado;;2021.0;N;N;Alto;N;1.0;0.0;0.023809523809523808
130;Aceptado;;2021.0;S;N;Alto;N;0.5;0.0;0.07142857142857142
130;Aceptado;;2021.0;S;N;Alto;N;1.0;0.0;0.047619047619047616
130;Pendiente;;2021.0;N;N;Medio;N;0.5;0.0;0.023809523809523808
130;Aceptado;;2021.0;N;N;Medio;N;1.0;0.0;25
130;Aceptado;;2021.0;S;N;Medio;N;0.5;0.0;0.047619047619047616
130;Pendiente;;2021.0;N;N;Medio;N;1.0;0.0;0.023809523809523808
130;Pendiente;;2021.0;N;N;Medio;N;0.5;1.0;25
130;Aceptado;;2021.0;N;N;Bajo;N;1.0;0.6666666666666666;0.0
130;Aceptado;;2021.0;N;N;Bajo;N;0.5;0.0;0.0
130;Aceptado;;2021.0;S;N;Alto;N;0.5;0.0;0.07142857142857142
130;Aceptado;20/08/2021;2021.0;S;S;Alto;N;1.0;0.3333333333333333;0.23809523809523808
130;Pendiente;;2021.0;S;S;Medio;N;1.0;0.0;0.11904761904761904
130;Aceptado;;2021.0;S;S;Medio;N;0.5;0.3333333333333333;0.6904761904761905
130;Pendiente;19/08/2021;2021.0;S;S;Alto;N;0.5;0.0;0.42857142857142855
130;Pendiente;;2021.0;S;N;Alto;N;0.5;0.0;0.047619047619047616
130;Pendiente;;2021.0;S;N;Alto;N;0.0;0.0;0.05
130;Pendiente;20/08/2021;2021.0;S;S;Alto;N;0.5;0.0;0.11904761904761904
130;Aceptado;03/08/2021;2021.0;S;N;Alto;N;0.0;0.3333333333333333;0.09523809523809523
130;Pendiente;;2021.0;N;N;Medio;N;0.0;0.3333333333333333;0.023809523809523808
130;Pendiente;;2021.0;N;N;Bajo;N;0.5;0.0;0.0
130;Pendiente;19/08/2021;2021.0;S;S;Alto;A;0.5;0.0;0.14285714285714285
130;Aceptado;;2021.0;S;N;Alto;N;0.0;0.0;0.047619047619047616
130;Pendiente;05/08/2021;2021.0;S;N;Medio;N;1.0;0.0;0.09523809523809523
130;Pendiente;;2021.0;S;N;Medio;N;1.0;0.0;0.047619047619047616
130;Pendiente;;2021.0;S;S;Alto;N;1.0;0.6666666666666666;0.7857142857142857
130;Pendiente;23/08/2021;2021.0;S;S;Alto;N;0.5;0.0;0.40476190476190477
130;Aceptado;;2021.0;S;S;Medio;N;0.0;0.0;0.38095238095238093
130;Pendiente;;2021.0;N;N;Bajo;N;0.5;0.3333333333333333;0.0
130;Aceptado;20/08/2021;2021.0;S;N;Alto;N;0.5;0.3333333333333333;0.07142857142857142
130;Pendiente;;2021.0;S;N;Alto;N;0.5;0.3333333333333333;0.047619047619047616
130;Pendiente;;2021.0;S;N;Alto;N;1.0;0.3333333333333333;0.05
130;Pendiente;;2021.0;S;N;Alto;N;1.0;0.0;0.047619047619047616
130;Aceptado;;2021.0;N;N;Medio;N;0.0;0.6666666666666666;0.023809523809523808
130;Pendiente;;2021.0;S;N;Medio;N;0.5;0.0;0.047619047619047616
130;Aceptado;18/08/2021;2021.0;S;S;Alto;N;0.0;0.3333333333333333;0.14285714285714285
130;Aceptado;;2021.0;N;N;Bajo;N;0.5;0.3333333333333333;0.0
130;Aceptado;;2021.0;S;N;Medio;I;0.5;0.6666666666666666;0.047619047619047616
130;Aceptado;;2021.0;S;N;Alto;N;0.5;0.0;0.047619047619047616
130;Pendiente;20/08/2021;2021.0;S;N;Alto;N;1.0;0.0;0.09523809523809523
130;Aceptado;;2021.0;S;N;Medio;N;0.5;0.3333333333333333;0.047619047619047616
130;Pendiente;;2021.0;S;N;Alto;N;0.5;0.0;0.047619047619047616
130;Aceptado;18/08/2021;2021.0;S;S;Alto;N;0.5;0.0;0.11904761904761904
130;Pendiente;05/08/2021;2021.0;S;S;Alto;N;0.5;0.0;0.21428571428571427
130;Aceptado;20/08/2021;2021.0;S;N;Alto;N;0.0;0.0;0.07142857142857142
130;Aceptado;;2021.0;N;N;Alto;N;0.5;0.0;0.023809523809523808
130;Pendiente;;2021.0;N;N;Bajo;N;0.5;0.0;0.0
130;Pendiente;;2021.0;S;S;Medio;N;1.0;0.3333333333333333;0.2857142857142857
130;Aceptado;20/08/2021;2021.0;S;N;Medio;N;1.0;0.0;0.047619047619047616
130;Aceptado;;2021.0;S;S;Alto;N;0.5;0.6666666666666666;0.3333333333333333
130;Pendiente;05/08/2021;2021.0;S;N;Medio;N;1.0;0.0;0.09523809523809523
130;Aceptado;23/08/2021;2021.0;S;S;Alto;N;1.0;0.0;0.2857142857142857
130;Aceptado;;2021.0;S;S;Alto;N;0.5;0.6666666666666666;0.3333333333333333
130;Pendiente;;2021.0;S;N;Alto;N;0.5;0.0;0.047619047619047616
130;Pendiente;20/08/2021;2021.0;S;S;Alto;N;0.0;0.0;225
130;Aceptado;;2021.0;N;N;Bajo;N;0.5;0.3333333333333333;0.0
130;Pendiente;;2021.0;N;N;Alto;N;1.0;0.3333333333333333;0.023809523809523808
130;Pendiente;;2021.0;S;N;Medio;N;1.0;0.0;0.07142857142857142
130;Aceptado;23/08/2021;2021.0;S;N;Medio;N;1.0;0.0;75
130;Aceptado;;2021.0;N;N;Medio;N;0.5;0.0;0.023809523809523808
130;Pendiente;23/08/2021;2021.0;S;N;Alto;N;1.0;0.0;0.09523809523809523
130;Aceptado;;2021.0;S;N;Medio;N;0.5;0.3333333333333333;0.047619047619047616
130;Pendiente;;2021.0;N;N;Medio;N;0.0;0.6666666666666666;0.023809523809523808
130;Aceptado;;2021.0;S;N;Alto;N;1.0;0.0;0.047619047619047616
130;Pendiente;;2021.0;S;N;Medio;N;0.5;0.0;0.047619047619047616
130;Pendiente;;2021.0;S;N;Alto;N;0.5;0.6666666666666666;0.047619047619047616
130;Pendiente;;2021.0;N;N;Alto;N;1.0;0.0;0.023809523809523808
130;Pendiente;;2021.0;S;N;Alto;N;0.5;0.3333333333333333;0.047619047619047616
130;Pendiente;;2021.0;N;N;Bajo;N;1.0;0.6666666666666666;0.0
130;Pendiente;;2021.0;N;N;Medio;N;0.5;0.0;0.023809523809523808
130;Pendiente;;2021.0;S;N;Alto;N;1.0;0.6666666666666666;0.047619047619047616
130;Aceptado;;2021.0;N;N;Bajo;N;1.0;0.0;0.0
130;Pendiente;19/08/2021;2021.0;S;S;Alto;N;0.5;1.0;0.40476190476190477
130;Pendiente;05/08/2021;2021.0;S;N;Medio;N;0.5;0.3333333333333333;0.07142857142857142
130;Pendiente;;2021.0;N;N;Bajo;N;0.5;0.0;0.0
130;Pendiente;19/08/2021;2021.0;S;S;Alto;A;1.0;0.3333333333333333;0.23809523809523808
130;Aceptado;;2021.0;S;S;Alto;N;0.5;0.3333333333333333;0.38095238095238093
130;Pendiente;;2021.0;S;N;Medio;A;1.0;0.6666666666666666;0.047619047619047616
130;Pendiente;;2021.0;S;S;Alto;N;0.5;0.3333333333333333;0.38095238095238093
130;Pendiente;;2021.0;N;N;Bajo;N;0.5;0.0;0.0
130;Aceptado;20/12/2021;2021.0;S;N;Alto;N;0.5;0.0;0.09523809523809523
130;Aceptado;;2021.0;S;N;Alto;N;0.5;0.0;0.047619047619047616
130;Aceptado;;2021.0;N;N;Alto;N;1.0;0.0;0.023809523809523808
130;Pendiente;;2021.0;N;N;Alto;N;1.0;0.0;0.023809523809523808
130;Pendiente;15/12/2021;2021.0;S;N;Medio;N;0.5;0.0;75
130;Aceptado;;2021.0;N;N;Alto;N;1.0;0.0;0.023809523809523808
130;Pendiente;;2021.0;N;N;Alto;I;0.5;0.3333333333333333;0.023809523809523808
130;Pendiente;;2021.0;N;N;Bajo;N;1.0;0.0;0.0
130;Pendiente;23/08/2021;2021.0;S;N;Alto;N;1.0;0.0;0.09523809523809523
130;Pendiente;;2021.0;S;N;Medio;N;0.5;0.0;0.047619047619047616
130;Pendiente;;2021.0;N;N;Alto;N;1.0;0.6666666666666666;0.023809523809523808
130;Aceptado;19/08/2021;2021.0;S;S;Alto;N;0.0;0.6666666666666666;0.40476190476190477
130;Pendiente;;2021.0;S;N;Medio;N;1.0;0.0;0.07142857142857142
130;Aceptado;;2021.0;S;N;Medio;N;1.0;0.3333333333333333;0.047619047619047616
130;Aceptado;;2021.0;N;N;Bajo;N;0.0;0.0;0.0
130;Aceptado;;2021.0;S;N;Alto;N;0.5;0.3333333333333333;0.047619047619047616
130;Pendiente;;2021.0;N;N;Bajo;N;0.5;0.0;0.0
130;Pendiente;;2021.0;N;N;Alto;N;1.0;0.0;0.023809523809523808
130;Pendiente;23/08/2021;2021.0;S;S;Medio;N;1.0;0.6666666666666666;0.30952380952380953
130;Aceptado;;2021.0;N;N;Alto;N;0.5;0.0;0.023809523809523808
130;Aceptado;;2021.0;S;S;Alto;N;0.5;0.0;0.8333333333333334
130;Pendiente;;2021.0;N;N;Alto;N;0.0;0.6666666666666666;0.023809523809523808
130;Pendiente;;2021.0;S;N;Medio;N;0.5;0.6666666666666666;0.047619047619047616
130;Aceptado;;2021.0;S;S;Alto;N;0.5;0.0;0.7619047619047619
130;Pendiente;;2021.0;S;N;Medio;N;0.5;0.3333333333333333;0.047619047619047616
130;Pendiente;23/08/2021;2021.0;S;S;Alto;N;0.5;0.3333333333333333;0.47619047619047616
130;Pendiente;;2021.0;N;N;Bajo;N;0.5;0.0;0.0
130;Pendiente;;2021.0;S;N;Alto;N;1.0;0.6666666666666666;0.047619047619047616
130;Pendiente;27/02/2021;2021.0;S;S;Alto;N;0.5;0.0;0.19047619047619047
130;Aceptado;;2021.0;S;N;Alto;N;1.0;0.0;0.09523809523809523
130;Pendiente;;2021.0;S;N;Medio;N;0.5;0.0;0.047619047619047616
130;Aceptado;;2021.0;S;N;Alto;N;1.0;1.0;0.07142857142857142
130;Pendiente;;2021.0;S;N;Alto;N;1.0;0.3333333333333333;0.047619047619047616
130;Pendiente;;2021.0;N;N;Medio;N;1.0;0.3333333333333333;0.023809523809523808
130;Aceptado;20/12/2021;2021.0;S;S;Medio;N;1.0;0.0;0.11904761904761904
130;Pendiente;;2021.0;S;N;Medio;N;0.0;0.3333333333333333;0.047619047619047616
130;Pendiente;;2021.0;N;N;Alto;N;1.0;0.0;0.023809523809523808
130;Aceptado;;2021.0;N;N;Bajo;N;0.5;0.3333333333333333;0.0
130;Pendiente;;2021.0;N;N;Medio;N;0.5;0.0;0.023809523809523808
130;Pendiente;;2021.0;N;N;Bajo;N;1.0;0.6666666666666666;0.0
130;Pendiente;;2021.0;S;S;Alto;N;0.5;0.3333333333333333;0.8333333333333334
130;Aceptado;;2021.0;S;N;Medio;N;0.5;0.0;0.07142857142857142
130;Aceptado;;2021.0;N;N;Medio;N;0.5;0.0;0.023809523809523808
130;Aceptado;;2021.0;N;N;Bajo;N;0.0;0.0;0.0
130;Pendiente;20/08/2021;2021.0;S;S;Alto;N;1.0;0.0;0.16666666666666666
130;Pendiente;;2021.0;S;N;Alto;N;0.5;0.0;0.07142857142857142
130;Pendiente;;2021.0;S;N;Medio;N;0.0;0.3333333333333333;0.047619047619047616
130;Pendiente;;2021.0;S;N;Alto;N;1.0;0.0;0.09523809523809523
130;Aceptado;23/08/2021;2021.0;S;N;Alto;N;0.0;0.0;0.1
130;Aceptado;;2021.0;N;N;Bajo;N;0.0;0.0;0.0
130;Pendiente;23/08/2021;2021.0;S;S;Alto;N;1.0;0.0;0.14285714285714285
130;Pendiente;;2021.0;S;N;Medio;N;0.5;0.6666666666666666;0.07142857142857142
130;Aceptado;;2021.0;N;N;Bajo;N;0.5;0.0;0.0
130;Pendiente;;2021.0;N;N;Alto;N;1.0;0.0;0.023809523809523808
130;Aceptado;23/08/2021;2021.0;S;N;Alto;N;0.5;0.6666666666666666;0.09523809523809523
130;Aceptado;;2021.0;S;N;Medio;A;0.5;0.0;0.047619047619047616
130;Pendiente;;2021.0;N;N;Bajo;N;1.0;0.3333333333333333;0.0
130;Aceptado;;2021.0;S;N;Alto;N;0.0;0.6666666666666666;0.047619047619047616
130;Pendiente;20/08/2021;2021.0;S;S;Alto;N;1.0;0.6666666666666666;0.21428571428571427
130;Aceptado;;2021.0;S;N;Medio;N;0.5;0.0;0.07142857142857142
