propuesta;regular;segundo_anio;rango_promedios;examenes_1er_semestre;avance_ingreso;avance_1er_semestre;avance_carrera;estadoN;rindio_examen;inscrito_ult_ciclo
134;S;S;Medio;N;1.0;0.0;0.125;P;S;S
130;S;N;Medio;N;1.0;0.0;0.0476190476190476;P;S;S
130;S;S;Alto;N;1.0;0.0;0.1428571428571428;P;N;S
130;S;S;Alto;N;0.0;0.0;0.2619047619047619;P;S;S
130;N;N;Bajo;N;0.5;0.0;0.0;A;N;N
130;S;N;Medio;N;0.5;0.0;0.0476190476190476;A;N;S
130;S;N;Medio;N;0.5;0.0;0.0714285714285714;P;N;S
130;N;N;Medio;N;0.5;0.3333333333333333;0.0238095238095238;A;N;N
130;S;N;Alto;N;0.5;0.3333333333333333;0.0476190476190476;A;S;S
130;N;N;Bajo;N;1.0;0.0;0.0;P;N;N
130;S;S;Medio;N;0.0;0.0;0.119047619047619;P;S;S
130;S;N;Medio;N;1.0;0.0;0.0476190476190476;P;N;S
130;N;N;Medio;N;0.5;0.0;0.0238095238095238;P;N;N
130;N;N;Bajo;N;0.0;0.6666666666666666;0.0;A;N;N
130;N;N;Bajo;N;0.5;0.0;0.0;A;N;N
130;N;N;Alto;N;1.0;0.0;0.0238095238095238;P;N;N
130;S;S;Medio;N;0.5;0.3333333333333333;0.3571428571428571;A;N;S
130;S;S;Alto;N;0.5;0.6666666666666666;0.1428571428571428;A;N;S
130;N;N;Bajo;N;0.0;0.0;0.0;A;N;N
130;S;S;Medio;N;0.5;0.0;0.119047619047619;P;N;S
130;S;N;Alto;N;0.5;0.0;0.0714285714285714;P;S;S
130;N;N;Alto;N;1.0;0.0;0.0238095238095238;P;N;N
130;S;S;Alto;N;0.5;0.6666666666666666;0.119047619047619;A;N;S
130;S;N;Medio;N;0.5;0.0;0.0714285714285714;A;N;S
130;S;N;Medio;N;0.5;0.3333333333333333;0.0476190476190476;A;N;S
130;S;S;Alto;N;0.0;0.0;0.1428571428571428;A;S;S
130;N;N;Bajo;N;0.5;0.0;0.0;P;N;N
130;S;N;Medio;N;0.5;0.0;0.0952380952380952;A;N;S
130;S;S;Medio;N;0.5;0.0;0.4285714285714285;A;N;S
130;N;N;Bajo;N;0.5;0.0;0.0;P;N;N
130;S;S;Medio;N;1.0;0.0;0.1428571428571428;P;S;S
