propuesta;estado_inscripcion;fecha_ultimo_examen;anio_ultima_reinscripcion;regular;calidad;segundo_anio;rango_promedios;examenes_1er_semestre;avance_ingreso;avance_1er_semestre;avance_carrera
134;Pendiente;23/08/2021;2021.0;S;A;S;Medio;N;1.0;0.0;0.125
130;Pendiente;14/12/2020;2021.0;S;A;N;Medio;N;1.0;0.0;0.047619047619047616
130;Pendiente;;2021.0;S;A;S;Alto;N;1.0;0.0;0.14285714285714285
130;Pendiente;23/08/2021;2021.0;S;A;S;Alto;N;0.0;0.0;0.2619047619047619
130;Aceptado;;;N;P;N;Bajo;N;0.5;0.0;0.0
130;Aceptado;;2021.0;S;A;N;Medio;N;0.5;0.0;0.047619047619047616
130;Pendiente;;2021.0;S;A;N;Medio;N;0.5;0.0;0.07142857142857142
130;Aceptado;;;N;P;N;Medio;N;0.5;0.3333333333333333;0.023809523809523808
130;Aceptado;14/12/2020;2021.0;S;A;N;Alto;N;0.5;0.3333333333333333;0.047619047619047616
130;Pendiente;;;N;P;N;Bajo;N;1.0;0.0;0.0
130;Pendiente;20/08/2021;2021.0;S;A;S;Medio;N;0.0;0.0;0.11904761904761904
130;Pendiente;;2021.0;S;A;N;Medio;N;1.0;0.0;0.047619047619047616
130;Pendiente;;;N;P;N;Medio;N;0.5;0.0;0.023809523809523808
130;Aceptado;;;N;P;N;Bajo;N;0.0;0.6666666666666666;0.0
130;Aceptado;;;N;P;N;Bajo;N;0.5;0.0;0.0
130;Pendiente;;;N;P;N;Alto;N;1.0;0.0;0.023809523809523808
130;Aceptado;;2021.0;S;A;S;Medio;N;0.5;0.3333333333333333;0.35714285714285715
130;Aceptado;;2021.0;S;A;S;Alto;N;0.5;0.6666666666666666;0.14285714285714285
130;Aceptado;;;N;P;N;Bajo;N;0.0;0.0;0.0
130;Pendiente;;2021.0;S;A;S;Medio;N;0.5;0.0;0.11904761904761904
130;Pendiente;16/03/2021;2021.0;S;A;N;Alto;N;0.5;0.0;0.07142857142857142
130;Pendiente;;;N;P;N;Alto;N;1.0;0.0;0.023809523809523808
130;Aceptado;;2021.0;S;A;S;Alto;N;0.5;0.6666666666666666;0.11904761904761904
130;Aceptado;;2021.0;S;A;N;Medio;N;0.5;0.0;0.07142857142857142
130;Aceptado;;2021.0;S;A;N;Medio;N;0.5;0.3333333333333333;0.047619047619047616
